Type,B1-Life,1st_Discharge,1st_Charge,1st_IR,1st_Temp,Discharge2-1,Charge2-1,IR2-1,Temp2-1
High,817,1.0673,1.0665,0.0156,34.0741,0.0008,0.001,0,-0.0183
High,816,1.0642,1.0636,0.0153,33.8038,0.0014,0.0013,0,0.0257
High,813,1.0638,1.0626,0.0154,33.007,0.0013,0.0015,0,-0.0382
High,796,1.0582,1.0574,0.0156,33.7904,0.0011,0.0011,0,-0.0233
High,788,1.0538,1.0529,0.0166,32.9394,0.0012,0.0015,0,0.1052
High,788,1.0851,1.0851,0.0164,32.9467,0.0012,0.0013,0,0.0255
High,786,1.0492,1.0482,0.0186,33.5514,0.0013,0.0015,-1.00E-04,-0.0372
High,772,1.0679,1.0677,0.0139,34.624,0,0,0,0.014
High,757,1.0925,1.0925,0.0166,33.4882,0.0013,0.0012,-1.00E-04,0.0362
High,742,1.0766,1.0769,0.017,32.5548,0.0012,0.0011,-0.0001,-0.0208
High,731,1.0778,1.078,0.0162,32.9981,0.0012,0.001,0,0.0169
High,731,1.0675,1.0669,0.016,33.9316,0.0007,0.0008,0,0.0045
High,719,1.0611,1.0603,0.0172,33.1382,0.0016,0.0016,0,0.0375
High,713,1.0383,1.0384,0.0179,32.2079,0.0038,0.0027,0,0.0092
High,709,1.0799,1.0801,0.0161,33.4296,0.0013,0.0012,-1.00E-04,0.0038
High,704,1.0778,1.078,0.0165,31.9349,0.0013,0.0011,-1.00E-04,-0.0097
High,703,1.0707,1.0712,0.0171,31.9609,0.0013,0.0011,-1.00E-04,0.0171
High,702,1.0799,1.0803,0.0168,33.4414,0.0014,0.0014,-1.00E-04,0.0072
High,691,1.0662,1.0658,0.0199,31.2946,0.0006,0.0009,0,0.0784
High,667,1.062,1.0616,0.0135,34.0697,0.0006,0.0006,0,-0.0306
High,663,1.0219,1.0199,0.0171,31.9333,0.0014,0.0034,-0.0002,0.4424
High,651,1.0682,1.0686,0.0161,33.3206,0.0012,0.0011,0,0.0085
High,648,1.0748,1.0751,0.0166,32.8349,0.0013,0.0011,0,-0.0086
High,636,1.0758,1.0752,0.017,32.513,0.0015,0.0016,0,0.0253
High,625,1.0818,1.0821,0.0167,33.3566,0.0014,0.0013,0,-0.0056
High,617,1.073,1.0734,0.0163,33.5206,0.001,0.0011,-1.00E-04,0.0069
High,616,1.0848,1.0851,0.0174,32.4118,0.0013,0.0012,0,0.017
High,599,1.084,1.0841,0.0167,32.7765,0.0013,0.0012,0,0.0433
High,561,1.0651,1.0645,0.0184,32.9803,0.004,0.0034,-1.00E-04,-0.2071
High,559,1.0824,1.0816,0.0153,33.3927,0.0012,0.0012,0,0.0869
Low,541,1.0513,1.0512,0.0132,35.5116,0.0006,0.0006,0,-0.0017
Low,535,1.0754,1.0752,0.0204,32.9652,0.0043,0.0041,-0.0002,0.408
Low,534,1.0726,1.0719,0.0157,32.4075,0.0011,0.0011,0,0.0385
Low,527,1.0714,1.0714,0.0178,32.2469,0.0031,0.0028,1.00E-04,-0.3506
Low,520,1.0759,1.0758,0.0177,32.8583,0.0032,0.0031,0,-0.388
Low,519,1.0712,1.0708,0.0177,33.2218,0.0031,0.0032,-1.00E-04,-0.5896
Low,513,1.0757,1.0757,0.0174,31.7336,0.004,0.0038,-1.00E-04,0.2555
Low,511,1.0652,1.0648,0.017,32.6071,0.0035,0.0031,-0.0002,-0.0906
Low,509,1.0682,1.0682,0.0173,33.065,0.0034,0.0008,-1.00E-04,-0.5043
Low,502,1.0787,1.0786,0.0177,32.4292,0.0044,0.0041,-0.0002,0.1515
Low,499,1.065,1.0652,0.0178,33.1799,0.0039,0.0032,-1.00E-04,-0.0002
Low,499,1.0736,1.072,0.0175,33.3722,0.003,0.0032,1.00E-04,-0.6551
Low,498,1.0699,1.0701,0.0171,33.4194,0.0026,0.0021,0,-0.3714
Low,495,1.064,1.0641,0.0174,29.9893,0.004,0.0036,0.0001,0.348
Low,494,1.0649,1.0653,0.0177,31.6505,0.0007,0.0014,1.00E-04,-1.0819
Low,492,1.0695,1.0696,0.0178,31.7192,0.0038,0.0032,-1.00E-04,-0.2063
Low,489,1.0719,1.0717,0.018,32.2616,0.005,0.0047,-0.0003,0.4346
Low,487,1.061,1.0614,0.0177,33.2482,0.0028,0.0024,-0.0002,-0.8731
Low,487,1.0662,1.0662,0.0174,32.3681,0.0043,0.004,-0.0002,0.3989
Low,485,1.0743,1.0744,0.0173,32.5697,0.0038,0.0035,-1.00E-04,0.1681
Low,483,1.0761,1.0762,0.0173,33.0549,0.0042,0.0039,-0.0002,0.1621
Low,483,1.0075,1.0032,0.0173,31.4518,0.0021,0.0037,0,-0.033
Low,481,1.0635,1.0635,0.0179,32.3936,0.0038,0.0035,-1.00E-04,-0.1342
Low,480,1.0642,1.0642,0.0172,31.8968,0.0038,0.0033,0,0.154
Low,478,1.0712,1.0714,0.0183,31.6485,0.0036,0.0031,-1.00E-04,0.2518
Low,477,1.068,1.0669,0.0177,33.1258,0.0037,0.0036,-1.00E-04,-0.058
Low,471,1.0734,1.0736,0.0181,31.7603,0.0032,0.0029,-0.0001,-0.4924
Low,468,1.0624,1.0625,0.0177,32.0495,0.0034,0.0031,-1.00E-04,-0.4178
Low,466,1.0746,1.075,0.0174,33.0046,0.0034,0.0031,0,-0.2494
Low,465,1.0661,1.066,0.0179,32.01,0.0038,0.0036,-1.00E-04,-0.0512
Low,463,1.0651,1.0652,0.0176,33.2481,0.0036,0.0033,-1.00E-04,0.3868
Low,462,1.0692,1.0694,0.0183,32.8128,0.0044,0.0041,-0.0002,0.0238
Low,461,1.0454,1.0456,0.0179,32.641,0.0026,0.0028,0,-0.3665
Low,461,1.0641,1.0642,0.0177,31.061,0.0032,0.0029,0,-0.42
Low,459,1.0744,1.0741,0.0182,31.9468,0.0041,0.0037,0,-0.0572
Low,458,1.0676,1.0681,0.0173,33.3156,0.0037,0.0029,-0.0002,0.1455
Low,457,1.0665,1.0665,0.0178,32.7124,0.0044,0.0042,-0.0002,0.2853
Low,444,1.0692,1.0692,0.017,32.8024,0.0037,0.0031,-0.0001,-0.0352
Low,438,1.0709,1.0705,0.0178,33.0384,0.0026,0.0023,1.00E-04,-0.9787
Low,429,1.0648,1.0648,0.0179,32.9688,0.0034,0.003,0,-0.3928
Low,429,1.0683,1.0682,0.0179,31.9935,0.0043,0.004,-1.00E-04,0.2596
Low,335,1.0639,1.0636,0.0171,33.5272,0.003,0.0027,-0.0003,-0.4195
Low,300,1.0681,1.0676,0.0175,30.3635,0.002,0.0022,0,-1.2029
Low,209,0.9721,0.9738,0.0167,30.2287,-0.0004,-0.0012,0.0002,-0.3081
Low,148,1.0692,1.0687,0.0179,32.6188,0.0029,0.0029,-0.0003,-1.0692
