Type,B1-Life,1st_Discharge,1st_Charge,1st_IR,1st_Temp,Discharge100-1,Charge100-1,IR100-1,Temp100-1
High,917,1.0795,1.0796,0.0166,32.6111,0.0023329,0.0019322,4.93E-05,0.167904
High,906,1.0753,1.0746,0.0166,33.4389,0.0062996,0.0062684,7.62E-05,-0.228444
High,902,1.0776,1.0773,0.0166,33.3877,0.0042927,0.0042011,-7.05E-05,0.120745
High,897,1.0798,1.0798,0.0172,32.0204,0.0038203,0.0035964,-5.91E-05,0.053011
High,891,1.0793,1.0795,0.0167,32.7523,0.0027323,0.0022297,-1.57E-05,0.121184
High,880,1.071,1.0702,0.0171,33.1877,0.0051763,0.0052621,-5.39E-05,-0.132712
High,879,1.09,1.0898,0.0168,32.0304,0.0041944,0.0040303,3.95E-05,-0.00711
High,876,1.0946,1.0947,0.017,30.3394,0.0007295,0.0002886,-4.20E-05,-0.027128
High,876,1.0678,1.067,0.0154,33.346,0.0015594,0.0024052,-7.28E-05,0.217596
High,870,1.0939,1.0936,0.0163,32.1513,0.0018599,0.0017561,-2.61E-05,-0.186955
High,870,1.0877,1.088,0.0164,33.1042,0.0017133,0.0012489,-1.57E-05,0.07952
High,862,1.0812,1.0806,0.0168,32.3819,0.005048,0.0051103,4.67E-06,0.014346
High,860,1.0777,1.0773,0.0167,33.6656,0.0019309,0.0015203,0.000100424,0.1962
High,858,1.0716,1.0712,0.0157,33.0623,0.0047919,0.0046883,-0.000108617,0.006367
High,858,1.0652,1.0648,0.015,31.251,0.0044349,0.0047249,-0.000203225,0.013472
High,857,1.0721,1.072,0.0168,31.9373,0.0048713,0.0046574,-6.49E-06,0.107064
High,854,1.0752,1.0748,0.0167,33.7738,0.0027946,0.0026021,-1.33E-05,0.147085
High,850,1.0593,1.0587,0.0151,35.1677,0.0034574,0.003931,-0.000126093,0.218871
High,842,1.079,1.0795,0.0162,33.7979,0.0020125,0.0014149,-6.94E-06,0.1378
High,828,1.0501,1.0484,0.0154,35.22,0.0017515,0.0029389,-0.000193077,0.932687
High,828,1.0637,1.0633,0.0155,32.9634,0.003326,0.0038186,-0.000234547,0.133049
High,825,1.0452,1.0448,0.0158,34.6196,0.004884,0.0053251,-0.000199367,0.139148
High,817,1.0673,1.0665,0.0156,34.0741,0.0009998,0.0016744,-4.15E-05,0.248169
High,816,1.0642,1.0636,0.0153,33.8038,0.003106,0.0036287,-0.000194704,0.420149
High,813,1.0638,1.0626,0.0154,33.007,0.0026401,0.0033708,-6.65E-05,0.10219
High,796,1.0582,1.0574,0.0156,33.7904,0.0035574,0.0041172,-0.000272386,0.548927
High,788,1.0538,1.0529,0.0166,32.9394,0.0061171,0.0064419,-0.00032937,-0.18922
High,788,1.0851,1.0851,0.0164,32.9467,0.0019329,0.0017815,-2.32E-05,0.140636
High,786,1.0492,1.0482,0.0186,33.5514,0.0049531,0.0055263,-0.000231422,0.126735
High,772,1.0679,1.0677,0.0139,34.624,-0.0140684,-0.0140023,0.000277526,0.533298
High,757,1.0925,1.0925,0.0166,33.4882,0.0012191,0.0007448,-2.35E-05,0.247562
High,742,1.0766,1.0769,0.017,32.5548,0.0028086,0.0020691,-5.08E-05,0.176123
High,731,1.0778,1.078,0.0162,32.9981,0.0015387,0.0009392,8.13E-05,0.116528
High,731,1.0675,1.0669,0.016,33.9316,0.0023149,0.002841,-4.63E-05,0.141798
High,719,1.0611,1.0603,0.0172,33.1382,0.0065749,0.0066974,-0.000278506,-0.038746
High,713,1.0383,1.0384,0.0179,32.2079,0.0087229,0.0082831,-0.000812898,0.145746
High,709,1.0799,1.0801,0.0161,33.4296,0.0014658,0.0009957,2.78E-05,0.135155
High,704,1.0778,1.078,0.0165,31.9349,0.0023983,0.0019239,7.68E-05,0.11276
High,703,1.0707,1.0712,0.0171,31.9609,0.0032355,0.0026673,-1.76E-06,0.171203
High,702,1.0799,1.0803,0.0168,33.4414,0.003303,0.0029572,6.21E-05,0.200619
High,691,1.0662,1.0658,0.0199,31.2946,-0.0017991,-0.001737,-0.004005637,1.060525
High,667,1.062,1.0616,0.0135,34.0697,-0.01822,-0.0181932,0.000347317,0.023817
High,663,1.0219,1.0199,0.0171,31.9333,-0.0113879,-0.0094732,0.000281825,-0.448137
High,651,1.0682,1.0686,0.0161,33.3206,0.0005802,2.15E-05,0.000140412,0.043173
High,648,1.0748,1.0751,0.0166,32.8349,0.0019663,0.0015037,8.08E-05,0.129524
High,636,1.0758,1.0752,0.017,32.513,0.0033765,0.0034927,-0.000332131,-0.249589
High,625,1.0818,1.0821,0.0167,33.3566,0.002951,0.0026117,0.000139597,0.285788
High,617,1.073,1.0734,0.0163,33.5206,0.0019282,0.0015785,3.91E-05,0.296789
High,616,1.0848,1.0851,0.0174,32.4118,-6.40E-05,-0.000455,0.000191191,0.22196
High,599,1.084,1.0841,0.0167,32.7765,0.001796,0.0014063,0.000142401,0.363249
High,561,1.0651,1.0645,0.0184,32.9803,0.0019482,0.0018983,-0.000713585,0.260076
High,559,1.0824,1.0816,0.0153,33.3927,-0.0057884,-0.0059661,-0.00017339,-0.332656
Low,541,1.0513,1.0512,0.0132,35.5116,-0.0172907,-0.0171981,0.000405327,0.418453
Low,535,1.0754,1.0752,0.0204,32.9652,0.0098383,0.0097758,-8.49E-05,0.674789
Low,534,1.0726,1.0719,0.0157,32.4075,-0.0115479,-0.011439,-0.000532476,-0.296899
Low,527,1.0714,1.0714,0.0178,32.2469,2.35E-05,-0.0002491,-0.000748434,0.18153
Low,520,1.0759,1.0758,0.0177,32.8583,0.0088911,0.0090359,9.42E-05,0.416517
Low,519,1.0712,1.0708,0.0177,33.2218,0.0083146,0.0087352,5.51E-05,-0.06431
Low,513,1.0757,1.0757,0.0174,31.7336,0.0068431,0.0068242,-0.000406706,0.267356
Low,511,1.0652,1.0648,0.017,32.6071,-0.0130008,-0.0129864,-0.001199924,-0.255317
Low,509,1.0682,1.0682,0.0173,33.065,0.0077076,0.0078,-0.000151028,-0.114935
Low,502,1.0787,1.0786,0.0177,32.4292,0.0075604,0.0074709,-0.000251172,0.403248
Low,499,1.065,1.0652,0.0178,33.1799,0.0096909,0.0093982,-0.000286147,0.455706
Low,499,1.0736,1.072,0.0175,33.3722,0.0062434,0.0074256,-0.000387495,0.225021
Low,498,1.0699,1.0701,0.0171,33.4194,0.0088998,0.0081884,8.57E-05,0.373252
Low,495,1.064,1.0641,0.0174,29.9893,0.0070108,0.0067427,-0.000171885,0.02209
Low,494,1.0649,1.0653,0.0177,31.6505,0.008937,0.0084398,-0.000424339,0.171909
Low,492,1.0695,1.0696,0.0178,31.7192,0.0090081,0.0087761,-0.000148574,0.08878
Low,489,1.0719,1.0717,0.018,32.2616,0.0047457,0.0046689,-0.000603461,-0.06619
Low,487,1.061,1.0614,0.0177,33.2482,-0.0021914,-0.0024057,-0.000599014,-0.037262
Low,487,1.0662,1.0662,0.0174,32.3681,0.0068408,0.0067901,-0.000373559,0.405104
Low,485,1.0743,1.0744,0.0173,32.5697,0.0066475,0.0063631,-0.000268902,0.528988
Low,483,1.0761,1.0762,0.0173,33.0549,-0.0044755,-0.0046111,-0.000709788,0.575282
Low,483,1.0075,1.0032,0.0173,31.4518,-0.0016874,0.0024834,-6.19E-05,-0.11815
Low,481,1.0635,1.0635,0.0179,32.3936,0.007749,0.0075371,-0.000426651,0.078839
Low,480,1.0642,1.0642,0.0172,31.8968,0.006545,0.0060672,-0.000328326,0.275738
Low,478,1.0712,1.0714,0.0183,31.6485,0.010065,0.009664,1.97E-05,0.463879
Low,477,1.068,1.0669,0.0177,33.1258,0.0025185,0.0026977,-0.000615949,0.280724
Low,471,1.0734,1.0736,0.0181,31.7603,0.0039104,0.0036637,-0.000628148,0.049676
Low,468,1.0624,1.0625,0.0177,32.0495,0.0069567,0.006627,-0.000342686,0.097971
Low,466,1.0746,1.075,0.0174,33.0046,0.008016,0.0077343,-0.000098496,0.342856
Low,465,1.0661,1.066,0.0179,32.01,0.008522,0.0083778,-8.87E-05,0.413501
Low,463,1.0651,1.0652,0.0176,33.2481,0.0067495,0.0064277,-0.000517733,0.615792
Low,462,1.0692,1.0694,0.0183,32.8128,0.0098776,0.0095267,-8.20E-05,0.457035
Low,461,1.0454,1.0456,0.0179,32.641,-0.0125543,-0.0127162,-0.00100593,-0.055919
Low,461,1.0641,1.0642,0.0177,31.061,0.0035695,0.0033095,-0.000575414,-1.679237
Low,459,1.0744,1.0741,0.0182,31.9468,0.0119159,0.0120126,4.91E-05,0.431262
Low,458,1.0676,1.0681,0.0173,33.3156,-0.0075692,-0.0080236,-0.00112305,0.654166
Low,457,1.0665,1.0665,0.0178,32.7124,0.0098599,0.009742,2.22E-06,0.515819
Low,444,1.0692,1.0692,0.017,32.8024,-0.0041086,-0.0046825,-0.000919106,0.299884
Low,438,1.0709,1.0705,0.0178,33.0384,0.0050984,0.0047671,-0.000137685,-0.071136
Low,429,1.0648,1.0648,0.0179,32.9688,0.0088984,0.008757,-4.01E-05,0.279037
Low,429,1.0683,1.0682,0.0179,31.9935,0.0112197,0.0111667,9.98E-05,0.637777
Low,335,1.0639,1.0636,0.0171,33.5272,-0.017166,-0.0173262,-0.000607881,0.076866
Low,300,1.0681,1.0676,0.0175,30.3635,-0.029648,-0.0265064,-0.000207536,0.166909
Low,209,0.9721,0.9738,0.0167,30.2287,-0.04619853,-0.04774022,0.000377602,-0.480084
Low,148,1.0692,1.0687,0.0179,32.6188,-0.10086115,-0.0988882,-0.001150838,0.140656
