Sample,Type,B1-Life,1st_Discharge,1st_Charge,1st_IR,1st_Temp,Discharge2-1,Charge2-1,IR2-1,Temp2-1,Discharge5-1,Charge5-1,IR5-1,Temp5-1,Discharge10-1,Charge10-1,IR10-1,Temp10-1,Discharge20-1,Charge20-1,IR20-1,Temp20-1,Discharge50-1,Charge50-1,IR50-1,Temp50-1,Discharge100-1,Charge100-1,IR100-1,Temp100-1
2017-05-12-1,High,1190,1.0707,1.071,0.0167,31.875,0.0012,0.0007,0,0.0565,0.0028761,0.0024913,-7.6618E-05,0.086062,0.0040814,0.0036447,-0.000135169,-0.063618,0.0058469,0.00426,-0.000120998,-0.314337,0.0060,0.0056,-0.0001,-0.2475,0.0051415,0.0043505,-5.0087E-05,-0.315878
2017-05-12-2,High,1179,1.0753,1.0751,0.017,31.6688,0.0013,0.0013,0,0.0539,0.003244,0.0032504,-0.000140822,0.098431,0.0047153,0.0046709,-0.00011084,-0.066841,0.0065721,0.0065178,-0.000151508,-0.39117,0.0064,0.0065,-0.0001,-0.2636,0.0053502,0.0053007,4.933E-06,-0.459746
2017-05-12-3,High,1177,1.0799,1.0798,0.0169,31.8254,0.0014,0.0013,-1.00E-04,0.0501,0.0031303,0.0029514,-2.36E-04,0.14443,0.0040587,0.0039057,-0.000192162,-0.049706,0.0056353,0.0054153,-0.000207514,-0.409774,0.0059,0.0058,-0.0002,-0.2498,0.0050447,0.0048831,-4.1456E-05,-0.463244
2018-04-12-35,High,1158,1.0602,1.0599,0.0155,35.5876,0.0013,0.0011,-1.00E-04,0.0253,0.0029043,0.0029874,-1.53E-04,-0.027214,0.0038321,0.0041621,-0.000191632,-0.025519,0.0039557,0.0043151,-0.000240526,0.061898,0.0034,0.0037,-0.0002,0.2170,0.0013493,0.0015514,-0.000168067,0.33213
2018-04-12-40,High,1156,1.0464,1.0461,0.0157,33.8089,0.001,0.0007,0,0.0072,0.0025986,0.0025751,-8.8364E-05,-0.030439,0.0040172,0.0040679,-0.000104473,-0.039411,0.004902,0.0050436,-0.000177049,0.026584,0.0047,0.0049,-0.0001,0.0363,0.0031038,0.0032255,-0.00011457,0.196397
2018-04-12-20,High,1155,1.0706,1.0698,0.0156,34.9547,0.0013,0.0014,0,0.0044,0.0027607,0.0032226,-9.3136E-05,-0.064285,0.0032823,0.0039392,-0.000133635,-0.151653,0.0031954,0.0037654,-0.000174291,-0.027053,0.0025,0.0029,-0.0001,0.2005,0.0002553,0.0007425,-0.000086694,0.25173
2018-04-12-19,High,1146,1.0675,1.0666,0.0151,35.1045,0.0005,0.0013,0,0.0099,0.0018455,0.002356,-5.5517E-05,-0.015315,0.0025043,0.0032206,-9.0258E-05,-0.089999,0.0024589,0.0032289,-0.000120029,0.049364,0.0017,0.0024,-0.0001,0.2368,-0.0004985,0.0003243,-3.9254E-05,0.329397
2018-04-12-4,High,1115,1.0623,1.0614,0.0149,36.337,0.0006,0.0008,1.00E-04,-0.1819,0.0020547,0.0021325,3.68E-05,-0.087005,0.0028054,0.0030441,5.1255E-05,-0.290781,0.0030681,0.0032585,5.8518E-05,-0.271459,0.0028,0.0030,0.0001,-0.2887,0.0012946,0.0014984,0.000162672,-0.168164
2018-04-12-36,High,1093,1.0626,1.062,0.0155,35.3096,0.0008,0.001,0,0.0202,0.0018418,0.002202,-7.5612E-05,-0.008204,0.0026138,0.0031754,-0.000114932,-0.049005,0.0027374,0.0031956,-0.000126048,0.075807,0.0022,0.0027,-0.0002,0.2712,0.0006331,0.0010587,-8.5485E-05,0.347436
2018-04-12-11,High,1078,1.0609,1.0587,0.0155,32.4696,0.0009,0.0024,1.00E-04,-0.0276,0.0023553,0.0042809,-3.28E-05,-0.065291,0.0034069,0.0053634,-0.000114567,-0.079311,0.0038759,0.0057908,-0.000151899,-0.005091,0.0040,0.0060,-0.0002,0.2004,0.0014909,0.0047496,-9.2862E-05,0.03195
2017-05-12-6,High,1074,1.0761,1.0761,0.0164,30.9986,0.0006,0.0005,0,0.0044,0.0029976,0.0028577,-0.000113157,0.02141,0.0042552,0.0041398,-0.000173194,0.006559,0.0041811,0.0039563,-0.000153186,-0.223019,0.0049,0.0047,-0.0001,-0.2022,0.0035983,0.0034255,-8.6846E-05,-0.179599
2018-04-12-2,High,1063,1.0642,1.0635,0.0152,34.6654,0.0009,0.0008,0,-0.0243,0.0030238,0.0032428,-0.000138372,-0.059921,0.004062,0.0044641,-0.000239631,-0.054399,0.0041461,0.0044785,-0.000265575,0.003167,0.0039,0.0042,-0.0002,0.1954,0.0022777,0.0025211,-0.000140789,0.247558
2017-06-30-10,High,1061,1.0296,1.0263,0.017,32.9249,0.0021,0.0036,-0.0002,-0.2017,0.0047114,0.007214,-7.3313E-05,0.136987,0.0059525,0.0088796,-6.4944E-05,-0.171467,0.0062702,0.0091877,-6.2895E-05,0.190339,0.0060,0.0090,0.0001,-0.4124,0.0052208,0.008135,9.5407E-05,-0.163958
2017-05-12-10,High,1054,1.083,1.0819,0.017,32.6311,0.0007,0.0012,-0.0001,-0.0476,0.0022641,0.0028108,-0.000103188,-0.028298,0.003799,0.004301,-0.000171547,-0.017251,0.0046187,0.005477,-0.000221292,-0.134597,0.0051,0.0060,-0.0001,-0.0623,0.0046603,0.005481,-4.6748E-05,0.03321
2017-05-12-42,High,1051,1.079,1.0794,0.0169,33.0092,0.0013,0.0012,-1.00E-04,-0.0183,0.0030209,0.0028885,-1.48E-04,-0.033632,0.0039428,0.0037581,-0.000236354,0.07778,0.0041165,0.0038484,-0.000205285,-0.081669,0.0046,0.0043,-0.0002,0.6591,0.0031489,0.0027321,-7.2042E-05,0.094351
2018-04-12-5,High,1048,1.0717,1.0711,0.0153,32.024,0.0008,0.0008,-1.00E-04,-0.0147,0.0020818,0.002372,-1.27E-04,-0.008873,0.0028391,0.0031971,-0.000150843,-0.136937,0.0030868,0.0032688,-0.000209362,0.069347,0.0033,0.0035,-0.0002,0.2005,0.0021586,0.0023841,-0.000120492,0.079906
2018-04-12-44,High,1046,1.0692,1.0685,0.016,33.5603,0.001,0.0012,-0.0002,0.1991,0.0025107,0.0028793,-0.000211741,0.162798,0.0034073,0.0039493,-6.7993E-05,-0.082022,0.0039257,0.0044029,-3.7504E-05,-0.183942,0.0039,0.0044,-0.0001,0.0552,0.0032185,0.003755,-0.000301357,1.056595
2018-04-12-10,High,1039,1.0684,1.0676,0.0159,33.0459,0.0011,0.0012,0,-0.0464,0.0030244,0.0033763,-6.4553E-05,-0.121519,0.0043774,0.0049045,-0.000101247,-0.125748,0.0047698,0.0053765,-0.000148076,-0.025589,0.0047,0.0053,-0.0002,0.1924,0.0040456,0.0045829,-2.6173E-05,0.095492
2018-04-12-27,High,1028,1.071,1.0702,0.0157,35.5688,0.001,0.0013,0,0.0165,0.0027659,0.0031569,-6.9842E-05,-0.017659,0.0039502,0.0046345,-0.000111786,-0.065223,0.0044929,0.0051704,-0.000145103,0.084642,0.0044,0.0052,-0.0001,0.2774,0.003435,0.0040774,-4.9001E-05,0.288624
2017-05-12-25,High,1017,1.0745,1.0744,0.0167,33.3119,0.001,0.0009,-1.00E-04,-0.036,0.0024914,0.0025215,-1.06E-04,-0.011189,0.0034181,0.0034431,-0.000168495,0.015048,0.0038032,0.003741,-0.000169944,-0.007345,0.0041,0.0040,-0.0001,0.2200,0.0031454,0.0029299,-3.899E-06,0.155209
2017-05-12-24,High,1014,1.0793,1.0796,0.0169,31.902,0.0013,0.0011,0,-0.0243,0.0026774,0.0023932,-6.0712E-05,-0.022363,0.0035081,0.0031603,-0.000118463,-0.023863,0.0037039,0.0032767,-0.000133968,-0.03581,0.0042,0.0037,-0.0003,1.2087,0.0023643,0.0018328,2.3677E-05,0.105942
2018-04-12-1,High,1009,1.0666,1.0661,0.0154,32.1495,0.0009,0.0009,0,-0.0429,0.0024936,0.0025951,-9.1183E-05,-0.108353,0.0038191,0.0039208,-0.000150032,-0.073276,0.0042299,0.0043887,-0.000185476,-0.056763,0.0044,0.0044,-0.0002,0.1217,0.0028544,0.0030016,-0.000129457,0.028357
2018-04-12-23,High,1002,1.0551,1.0546,0.0159,34.4108,0.0012,0.0012,0,0.0185,0.0026407,0.0028813,-0.000137267,-0.037227,0.0034029,0.0037858,-0.000170442,-0.097732,0.0039943,0.0043323,-0.000242227,0.032843,0.0034,0.0038,-0.0002,0.2322,0.0018046,0.0021614,-0.000170208,0.36921
2018-04-12-26,High,989,1.0601,1.0596,0.0158,35.4789,0.001,0.0011,0,-0.0142,0.0028901,0.0029968,-0.000125789,-0.062354,0.0041061,0.004517,-0.000171433,-0.045156,0.0049194,0.005306,-0.000190158,-0.02134,0.0052,0.0055,-0.0002,0.2010,0.0042663,0.0045642,-9.7242E-05,0.180085
2017-06-30-9,High,982,1.0245,1.0205,0.0172,32.7034,0.002,0.0037,-1.00E-04,-0.2115,0.0049046,0.0076938,-1.30E-04,0.188809,0.0068256,0.0102022,9.383E-06,-0.653837,0.0072242,0.010852,8.6828E-05,-0.362871,0.0068,0.0104,0.0002,-0.7978,0.0060706,0.0098102,0.000229091,-0.726173
2017-05-12-41,High,966,1.0833,1.084,0.0168,33.4184,0.0013,0.0012,-1.00E-04,-0.0517,0.0030302,0.0026898,-1.46E-04,-0.069566,0.0039169,0.0035719,-0.000221206,0.03147,0.0041051,0.0036123,-0.000185755,-0.090059,0.0043,0.0038,-0.0002,0.5656,0.0024539,0.0018424,1.08E-06,0.065476
2018-04-12-45,High,940,1.0686,1.068,0.0157,33.2741,0.0011,0.0012,0,0.0001,0.0028406,0.0029924,-5.5005E-05,-0.06331,0.0041483,0.0044722,-9.2141E-05,-0.156869,0.0050459,0.0053722,-0.000168772,0.02829,0.0051,0.0055,-0.0002,0.1906,0.0043284,0.0046699,-8.279E-05,0.122268
2018-04-12-31,High,935,1.0675,1.0667,0.0158,32.2082,0.0012,0.0014,-0.0001,-0.0517,0.0030589,0.0034256,-0.000159946,-0.09545,0.0042069,0.0046642,-0.000221548,-0.015661,0.0046468,0.0050835,-0.000268165,0.000766,0.0046,0.0051,-0.0003,0.1281,0.0035108,0.0040169,-0.000181597,0.019481
2018-04-12-13,High,932,1.0732,1.0725,0.0162,33.1047,0.001,0.0012,-1.00E-04,-0.0147,0.0026239,0.0030165,-1.22E-04,-0.065874,0.0033386,0.0039661,-0.000136546,-0.114088,0.0036691,0.0041761,-0.000194555,0.062189,0.0034,0.0040,-0.0002,0.2684,0.0023343,0.0028022,-0.000100968,0.19206
2018-04-12-37,High,923,1.0574,1.0572,0.0153,35.6798,0.0001,0,0,0.0651,0.0015134,0.0014978,-0.000104694,0.023006,0.0026277,0.0027048,-0.000156286,-0.013176,0.0031863,0.0032841,-0.000202395,0.077484,0.0023,0.0023,-0.0002,0.2403,0.0003667,0.0004224,-0.000120439,0.324674
2017-05-12-30,High,917,1.0795,1.0796,0.0166,32.6111,0.0012,0.0012,0,0.0033,0.002624,0.0025387,-6.9669E-05,-0.04852,0.0033774,0.0032487,-0.000140608,0.041059,0.0037524,0.0034876,-0.000119904,-0.067857,0.0039,0.0036,-0.0001,0.5733,0.0023329,0.0019322,4.9306E-05,0.167904
2017-05-12-11,High,906,1.0753,1.0746,0.0166,33.4389,0.0009,0.0011,0,0.045,0.0026266,0.0026562,-0.000108144,0.064997,0.0044315,0.0044125,-0.00013144,-0.032893,0.0064965,0.0065632,-7.5855E-05,-0.35029,0.0072,0.0072,0.0000,-0.2846,0.0062996,0.0062684,7.6221E-05,-0.228444
2017-05-12-13,High,902,1.0776,1.0773,0.0166,33.3877,0.001,0.0011,-1.00E-04,0.0041,0.0025911,0.0025044,-1.26E-04,-0.038846,0.0037532,0.0036944,-0.00018031,0.001559,0.0045656,0.0044783,-0.00019157,-0.055289,0.0051,0.0050,-0.0002,0.0113,0.0042927,0.0042011,-7.0503E-05,0.120745
2017-05-12-14,High,897,1.0798,1.0798,0.0172,32.0204,0.0013,0.0012,-1.00E-04,0.0189,0.0029487,0.0027858,-1.41E-04,-0.023949,0.0040455,0.0038323,-0.000182371,0.009584,0.0047174,0.0045107,-0.00019971,-0.04692,0.0049,0.0047,-0.0002,0.0216,0.0038203,0.0035964,-5.9073E-05,0.053011
2017-05-12-23,High,891,1.0793,1.0795,0.0167,32.7523,0.0013,0.0012,0,0.002,0.0029772,0.0026699,-7.8546E-05,-0.014479,0.0038609,0.0034943,-0.000147313,0.015421,0.0042568,0.003822,-0.000161142,-0.094292,0.0047,0.0043,-0.0003,1.1016,0.0027323,0.0022297,-1.5749E-05,0.121184
2017-05-12-15,High,880,1.071,1.0702,0.0171,33.1877,0.0011,0.0012,0,0.0313,0.0029669,0.0030679,-6.8479E-05,0.063402,0.0044467,0.0045521,-0.000185904,0.043142,0.0047278,0.0046867,-0.000204568,-0.187704,0.0057,0.0058,-0.0001,-0.1838,0.0051763,0.0052621,-5.3874E-05,-0.132712
2017-05-12-9,High,879,1.09,1.0898,0.0168,32.0304,0.0013,0.0013,0,0.0448,0.0030603,0.0030046,-7.2865E-05,0.020945,0.0043236,0.0039655,-0.000119931,0.06051,0.0051148,0.0050339,-0.000135564,-0.03322,0.0052,0.0050,-0.0001,-0.0681,0.0041944,0.0040303,3.9497E-05,-0.00711
2017-05-12-32,High,876,1.0946,1.0947,0.017,30.3394,0.0013,0.0012,-0.0001,-0.0073,0.002881,0.0027066,-0.00014205,-0.029055,0.0036361,0.003329,-0.000189214,0.08128,0.0037334,0.0015704,-0.000191676,-0.091262,0.0027,0.0023,-0.0001,-0.0266,0.0007295,0.0002886,-4.1989E-05,-0.027128
2018-04-12-16,High,876,1.0678,1.067,0.0154,33.346,0.0006,0.0012,0,0.0018,0.0023469,0.0030077,-4.008E-05,-0.042125,0.0031045,0.0040098,-5.7506E-05,-0.199594,0.0032675,0.0040362,-0.000118455,0.103411,0.0032,0.0040,-0.0001,0.3166,0.0015594,0.0024052,-7.2824E-05,0.217596
2017-05-12-8,High,870,1.0939,1.0936,0.0163,32.1513,0.0012,0.0014,0,0.0028,0.0030613,0.0030837,-0.000113658,0.029803,0.0039453,0.0039255,-0.000133671,-0.031303,0.003646,0.0034937,-0.000145774,-0.231856,0.0036,0.0036,-0.0001,-0.2389,0.0018599,0.0017561,-2.6138E-05,-0.186955
2017-05-12-27,High,870,1.0877,1.088,0.0164,33.1042,0.0011,0.0012,-0.0001,-0.06,0.0025194,0.0025515,-0.000121629,-0.04774,0.003449,0.0033535,-0.000176171,0.046224,0.0036407,0.0034459,-0.00018367,-0.096455,0.0033,0.0031,-0.0001,0.1175,0.0017133,0.0012489,-1.5682E-05,0.07952
2017-05-12-17,High,862,1.0812,1.0806,0.0168,32.3819,0.0012,0.0012,0,-0.0018,0.0034543,0.0033037,-0.000114164,-0.030678,0.0047966,0.004817,-0.000145946,0.029444,0.0049309,0.004774,-0.000165009,-0.115753,0.0059,0.0059,-0.0001,-0.0704,0.005048,0.0051103,4.665E-06,0.014346
2017-05-12-29,High,860,1.0777,1.0773,0.0167,33.6656,0.0014,0.0013,0,-0.0071,0.0027075,0.0025997,-4.3478E-05,-0.026142,0.0033122,0.0030502,-0.000112055,0.039731,0.0034813,0.0031473,-0.000116634,-0.037193,0.0035,0.0031,-0.0001,0.5451,0.0019309,0.0015203,0.000100424,0.1962
2018-04-12-15,High,858,1.0716,1.0712,0.0157,33.0623,0.0011,0.0008,0,-0.0285,0.0037649,0.0033791,-9.3682E-05,-0.091391,0.0047183,0.0046365,-0.000117398,-0.181835,0.0055823,0.0055554,-0.00018532,0.014465,0.0061,0.0060,-0.0002,0.1908,0.0047919,0.0046883,-0.000108617,0.006367
2018-04-12-30,High,858,1.0652,1.0648,0.015,31.251,0.0012,0.0011,0,-0.0078,0.0032901,0.0032928,-7.4438E-05,-0.080567,0.0046459,0.0048762,-0.000106906,-0.213724,0.0056865,0.0059078,-0.00015594,-0.052588,0.0058,0.0062,-0.0002,0.1876,0.0044349,0.0047249,-0.000203225,0.013472
2017-05-12-18,High,857,1.0721,1.072,0.0168,31.9373,0.0012,0.0012,-1.00E-04,0.0519,0.0027942,0.0026828,-1.37E-04,-0.01509,0.002644,0.0037251,-0.000175898,0.01257,0.0049049,0.0047652,-0.000180543,-0.06324,0.0054,0.0053,-0.0001,0.0654,0.0048713,0.0046574,-6.488E-06,0.107064
2017-05-12-26,High,854,1.0752,1.0748,0.0167,33.7738,0.0011,0.001,0,0.0283,0.0023747,0.0021897,-8.8495E-05,0.012199,0.003398,0.0033057,-0.00016038,0.048659,0.0040434,0.0038924,-0.000155397,-0.02812,0.0043,0.0041,-0.0001,0.2797,0.0027946,0.0026021,-1.3324E-05,0.147085
2018-04-12-28,High,850,1.0593,1.0587,0.0151,35.1677,0.0011,0.0013,0,0.0429,0.0031913,0.0035762,-0.000123802,-0.040171,0.0045406,0.004974,-0.000189619,-0.04451,0.0048844,0.005283,-0.000223948,0.037581,0.0049,0.0053,-0.0002,0.2268,0.0034574,0.003931,-0.000126093,0.218871
2017-05-12-28,High,842,1.079,1.0795,0.0162,33.7979,0.0012,0.0011,-1.00E-04,-0.0198,0.0024734,0.0021858,-1.26E-04,0.028028,0.0034029,0.0030677,-0.00018158,0.088726,0.0037345,0.0032833,-0.000171689,-0.092806,0.0036,0.0030,-0.0001,0.1057,0.0020125,0.0014149,-6.942E-06,0.1378
2018-04-12-6,High,828,1.0501,1.0484,0.0154,35.22,0.0014,0.0018,0,0.0087,0.0030315,0.0040521,-8.2623E-05,0.010018,0.0035922,0.0048265,-0.000208338,-0.085642,0.0036277,0.004861,-0.000260392,0.024687,0.0034,0.0045,-0.0003,0.1944,0.0017515,0.0029389,-0.000193077,0.932687
2018-04-12-9,High,828,1.0637,1.0633,0.0155,32.9634,0.001,0.0011,-1.00E-04,-0.042,0.0028767,0.0031697,-1.56E-04,-0.101929,0.0042353,0.0046348,-0.00021226,-0.081842,0.0046903,0.0051954,-0.000257009,0.018994,0.0049,0.0053,-0.0003,0.2383,0.003326,0.0038186,-0.000234547,0.133049
2018-04-12-25,High,825,1.0452,1.0448,0.0158,34.6196,0.0011,0.0013,0,0.0128,0.0033005,0.003433,-0.000121848,-0.064525,0.0047612,0.005314,-0.000248058,-0.106609,0.0051913,0.0055938,-0.000283914,-0.068257,0.0057,0.0062,-0.0003,0.1138,0.004884,0.0053251,-0.000199367,0.139148
2018-04-12-12,High,817,1.0673,1.0665,0.0156,34.0741,0.0008,0.001,0,-0.0183,0.0022097,0.0028244,-3.7915E-05,-0.070564,0.0033047,0.0040258,-6.142E-05,-0.102266,0.0033683,0.00404,-0.000111691,0.050124,0.0029,0.0036,-0.0001,0.2837,0.0009998,0.0016744,-4.1476E-05,0.248169
2018-04-12-14,High,816,1.0642,1.0636,0.0153,33.8038,0.0014,0.0013,0,0.0257,0.0033212,0.003645,-0.000117876,0.159681,0.0047164,0.0052064,-0.000101817,-0.02598,0.0053937,0.0059059,-0.000128593,0.145518,0.0051,0.0056,-0.0002,0.4326,0.003106,0.0036287,-0.000194704,0.420149
2018-04-12-21,High,813,1.0638,1.0626,0.0154,33.007,0.0013,0.0015,0,-0.0382,0.0027587,0.0033782,-6.5522E-05,-0.081172,0.0037322,0.0044383,-0.000140238,-0.04703,0.0041505,0.0048144,-0.000168653,0.014354,0.0040,0.0047,-0.0002,0.2123,0.0026401,0.0033708,-6.6509E-05,0.10219
2018-04-12-41,High,796,1.0582,1.0574,0.0156,33.7904,0.0011,0.0011,0,-0.0233,0.0031143,0.0034102,-8.9182E-05,-0.075611,0.0050297,0.0054999,-0.000121247,-0.072005,0.0055759,0.0061227,-0.000175749,0.065394,0.0053,0.0059,-0.0002,0.3207,0.0035574,0.0041172,-0.000272386,0.548927
2017-05-12-12,High,788,1.0538,1.0529,0.0166,32.9394,0.0012,0.0015,0,0.1052,0.0032793,0.0035305,-0.000108721,0.077291,0.0044161,0.0047496,-0.000449812,0.029492,0.006404,0.0068351,-0.000454216,-0.259464,0.0070,0.0074,-0.0004,-0.2023,0.0061171,0.0064419,-0.00032937,-0.18922
2017-05-12-20,High,788,1.0851,1.0851,0.0164,32.9467,0.0012,0.0013,0,0.0255,0.0026784,0.0026502,-6.4967E-05,0.013763,0.0024366,0.0035695,-0.000135409,0.144647,0.0039421,0.0038969,-0.000112355,-0.052799,0.0037,0.0035,-0.0001,0.0321,0.0019329,0.0017815,-2.3156E-05,0.140636
2018-04-12-42,High,786,1.0492,1.0482,0.0186,33.5514,0.0013,0.0015,-1.00E-04,-0.0372,0.003355,0.0037146,-1.41E-04,-0.077693,0.0045622,0.0051267,-0.000283889,-0.106759,0.0052195,0.005827,-0.000330102,0.03791,0.0056,0.0062,-0.0007,0.1236,0.0049531,0.0055263,-0.000231422,0.126735
2018-04-12-22,High,772,1.0679,1.0677,0.0139,34.624,0,0,0,0.014,0.0003704,0.0003529,5.0136E-05,-0.033587,0.0007178,0.0007478,7.6241E-05,-0.072495,-0.0005922,-0.0006535,0.000114171,0.035753,-0.0056,-0.0056,0.0002,0.2846,-0.0140684,-0.0140023,0.000277526,0.533298
2017-05-12-34,High,757,1.0925,1.0925,0.0166,33.4882,0.0013,0.0012,-1.00E-04,0.0362,0.0030694,0.0028004,-1.11E-04,0.00523,0.0037515,0.0034404,-0.00016526,0.087898,0.0039094,0.0035619,-0.00016344,-0.033334,0.0035,0.0030,-0.0001,0.3704,0.0012191,0.0007448,-2.3527E-05,0.247562
2017-05-12-35,High,742,1.0766,1.0769,0.017,32.5548,0.0012,0.0011,-0.0001,-0.0208,0.002215,0.0020706,-0.000131215,-0.060018,0.0033509,0.0030901,-0.000190257,-0.028886,0.0039745,0.0036464,-0.000214892,-0.101177,0.0044,0.0040,-0.0003,0.7390,0.0028086,0.0020691,-5.0758E-05,0.176123
2017-05-12-33,High,731,1.0778,1.078,0.0162,32.9981,0.0012,0.001,0,0.0169,0.0026064,0.0022684,-5.8792E-05,-0.077661,0.0033299,0.0028762,-0.000110384,0.0071,0.0035408,0.0030668,-9.8275E-05,-0.044521,0.0032,0.0027,0.0000,0.1820,0.0015387,0.0009392,8.1344E-05,0.116528
2018-04-12-32,High,731,1.0675,1.0669,0.016,33.9316,0.0007,0.0008,0,0.0045,0.0024984,0.0028207,-0.000112104,-0.05326,0.0033563,0.0039408,-0.000137246,-0.122837,0.0039433,0.0045301,-0.00017769,-0.038249,0.0036,0.0042,-0.0002,0.1915,0.0023149,0.002841,-4.6349E-05,0.141798
2017-05-12-16,High,719,1.0611,1.0603,0.0172,33.1382,0.0016,0.0016,0,0.0375,0.0041857,0.0042307,-0.000220414,0.030293,0.0057538,0.0058865,-0.000499127,0.063923,0.0061472,0.0061941,-0.0004954,-0.126574,0.0073,0.0075,-0.0004,-0.0514,0.0065749,0.0066974,-0.000278506,-0.038746
2017-06-30-48,High,713,1.0383,1.0384,0.0179,32.2079,0.0038,0.0027,0,0.0092,0.0078055,0.0068843,-0.000252884,0.328213,0.0103518,0.0096705,-0.000485743,0.100846,0.0117526,0.0112982,-0.000651368,0.275803,0.0115,0.0109,-0.0007,0.1066,0.0087229,0.0082831,-0.000812898,0.145746
2017-05-12-31,High,709,1.0799,1.0801,0.0161,33.4296,0.0013,0.0012,-1.00E-04,0.0038,0.0026673,0.0024477,-1.13E-04,-0.032209,0.00358,0.0032621,-0.000174807,0.054671,0.0039182,0.001718,-0.000170977,-0.089114,0.0033,0.0029,-0.0001,0.0900,0.0014658,0.0009957,2.7832E-05,0.135155
